,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_exploration_final_eps,params_exploration_fraction,params_gamma,params_learning_rate,params_learning_starts,params_lr_schedule,params_net_arch,params_subsample_steps,params_target_update_interval,params_train_freq,state
84,84,87.12358518242836,2022-08-10 03:12:55.505058,2022-08-10 03:28:23.170976,0 days 00:15:27.665918,512,1000000,0.11779282663331268,0.012579290735464125,0.995,3.4484296933275674e-05,1000,constant,large,1,20000,1,COMPLETE
85,85,-9.058221007697284,2022-08-10 03:28:23.183840,2022-08-10 03:32:48.127698,0 days 00:04:24.943858,100,1000000,0.11678338864323808,0.059644715329078106,0.95,3.77102599966165e-05,1000,constant,large,1,20000,1000,PRUNED
86,86,57.957596907764675,2022-08-10 03:32:48.131715,2022-08-10 03:42:05.522583,0 days 00:09:17.390868,256,1000000,0.11328113932264125,0.09838246734994834,0.995,6.246577744598593e-05,1000,constant,large,1,20000,1,PRUNED
87,87,25.00000037252903,2022-08-10 03:42:05.527328,2022-08-10 03:44:23.179281,0 days 00:02:17.651953,16,1000000,0.12993139710562013,0.08143174843888318,0.995,0.03932465687744007,1000,constant,large,1,20000,1,PRUNED
88,88,-499.0,2022-08-10 03:44:23.183341,2022-08-10 03:44:47.292392,0 days 00:00:24.109051,512,1000000,0.11955426457560905,0.12557219367775024,0.995,2.533179372469093e-05,20000,constant,medium,1,1,1,PRUNED
89,89,-499.0,2022-08-10 03:44:47.296579,2022-08-10 03:45:02.401183,0 days 00:00:15.104604,512,1000000,0.16421948605703324,0.0359896004345257,0.99,4.551031282442878e-05,10000,constant,large,2,15000,1,PRUNED
90,90,30.500222085043788,2022-08-10 03:45:02.405443,2022-08-10 04:00:29.782061,0 days 00:15:27.376618,512,1000000,0.15317213239284663,0.018467730112824612,0.9,3.273913050854285e-05,1000,constant,large,1,20000,1,PRUNED
91,91,87.00865900609642,2022-08-10 04:00:29.786314,2022-08-10 04:15:53.677642,0 days 00:15:23.891328,512,1000000,0.13835829642177755,0.01754330940682831,0.995,1.3659641014352017e-05,1000,constant,large,1,20000,1,COMPLETE
92,92,14.960912065207959,2022-08-10 04:15:53.690801,2022-08-10 04:31:26.139079,0 days 00:15:32.448278,512,1000000,0.14331701355296564,0.00038006434184637006,0.995,2.1381154390861262e-05,1000,constant,large,1,20000,1,PRUNED
93,93,71.43676899354905,2022-08-10 04:31:26.143270,2022-08-10 04:34:46.930114,0 days 00:03:20.786844,32,1000000,0.13677778140207875,0.05458151459060161,0.995,1.5280197965135908e-05,1000,constant,large,1,20000,1,PRUNED
94,94,56.52742383852601,2022-08-10 04:34:46.934122,2022-08-10 04:50:18.057179,0 days 00:15:31.123057,512,1000000,0.14707253911680032,0.03775915727321364,0.999,2.442478741281703e-05,1000,constant,large,1,20000,4,PRUNED
95,95,18.449410295300186,2022-08-10 04:50:18.061258,2022-08-10 05:05:42.380754,0 days 00:15:24.319496,512,1000000,0.12640277373047173,0.015173024044836994,0.995,3.3096671548647694e-05,1000,constant,large,1,20000,128,PRUNED
96,96,93.89191984832287,2022-08-10 05:05:42.385113,2022-08-10 05:12:18.867229,0 days 00:06:36.482116,128,1000000,0.15862190656825184,0.06899298578494815,0.995,1.6057646047725468e-05,0,constant,large,1,20000,16,COMPLETE
97,97,85.30132915209978,2022-08-10 05:12:18.880192,2022-08-10 05:18:43.753775,0 days 00:06:24.873583,128,1000000,0.1582994757969472,0.07398717880984508,0.995,1.0235735097678898e-05,0,constant,large,1,20000,16,COMPLETE
98,98,55.489912503026424,2022-08-10 05:18:43.767400,2022-08-10 05:25:28.577114,0 days 00:06:44.809714,128,1000000,0.15101863964249765,0.028445061965906265,0.99,0.00011726689025489645,0,constant,large,1,20000,16,PRUNED
99,99,66.69291313793511,2022-08-10 05:25:28.581213,2022-08-10 05:31:48.806983,0 days 00:06:20.225770,128,1000000,0.13399457797624703,0.05850007021411929,0.995,6.482470784351397e-05,0,constant,large,1,1000,16,PRUNED
